Comment,Footprint,Designator,JLCPCB Part #ï¼ˆoptional )
"SW_Push","switch_K2-1187SQ-A4SW-06","SW1","C318884"
"1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C8,C3,C20,C2","C28323"
"100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C10,C14,C19,C12,C11,C13"
"Ferrite_Bead","L_0805_2012Metric_Pad1.15x1.40mm_HandSolder","FB1"
"D_Small","D_SOD-123","D32,D61,D104,D18,D6,D99,D37,D10,D4,D94,D105,D70,D48,D9,D74,D93,D3,D75,D20,D87,D40,D63,D28,D25,D96,D56,D29,D38,D71,D80,D89,D43,D65,D73,D35,D15,D90,D60,D59,D102,D5,D100,D109,D19,D95,D42,D77,D8,D2,D97,D84,D81,D76,D106,D27,D53,D82,D17,D57,D16,D45,D7,D54,D49,D12,D86,D13,D41,D85,D46,D68,D103,D33,D91,D51,D55,D52,D31,D66,D92,D79,D67,D11,D50,D98,D58,D23,D34,D107,D101,D1,D72,D36,D30,D26,D108,D24,D22,D83,D47,D78,D14,D69,D44,D39,D21,D62,D64,D88","C81598"
"0.1uF","C_0805_2012Metric","C16,C18,C21,C17","C49678"
"Q_NMOS_GSD 2N7002","SOT-23","Q3,Q2"
"62k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","R16,R17,R14,R12,R5,R15"
"Q_PMOS_GSD AO3401A","SOT-23","Q1"
"2k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","R9,R2,R11,R10,R8"
"4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C22,C15"
"10pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C23,C24"
"STM32F411RETx","LQFP-64_10x10mm_P0.5mm","U3"
"10nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C1"
"74AHCT1G125","SOT-23-5","U2"
"24LC64","SOIC-8_3.9x4.9mm_P1.27mm","U4"
"8MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm","Y1"
"1k","R_0805_2012Metric","R4"
"XC6206P332NR","SOT-223-3_TabPin2","U1"
"Conn_01x04_MountingPin","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal","J2","C160404"
"2N3904","SOT-23","Q4"
"390","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","R3"
"USBLC6-2SC6","SOT-666","U5"
"330","R_0805_2012Metric","R6","C17630"
